request_id,effect_logit,effect_OR
NCT03444870,2.618034079978118,13.70874677687909
NCT02349802,2.6925460822525245,14.769231768905087
NCT00929331,2.6953121969249434,14.810141712313941
NCT01523587,2.6953753427423846,14.811076940346343
NCT00038506,2.795630298576512,16.372945345693573
NCT01154114,2.8949936135065415,18.083385951462873
NCT00017953,2.9894700747840224,19.87514735863836
NCT00265148,3.01328113356713,20.35407491908796
NCT00956436,3.0396405248024014,20.897729669201176
NCT00274053,3.072431310523155,21.59434145130761
NCT01101568,3.0834943906931174,21.83456775328182
NCT01114880,3.1179960026619358,22.601041802282996
NCT00129259,3.1204102497615356,22.655672221032244
NCT00543855,3.1295341223170468,22.86332554777353
NCT00444509,3.1613990094519893,23.60359449283107
NCT00140712,3.2745610779615038,26.431621512935305
NCT00387088,3.371022941816131,29.108287918295158
NCT01499043,3.463473349968401,31.927680153985076
NCT00306943,3.5054366696368073,33.29598002192416
NCT01147926,3.527213052390808,34.02899830351122
NCT00307541,3.5580764138555634,35.095622719734855
NCT00645905,3.604761786900536,36.77292302184335
NCT00520936,3.631525431939722,37.77038885228568
NCT01117051,3.760507239758938,42.970216654084496
NCT01328041,3.8264208381815226,45.89796764417512
NCT00256867,3.864711710539557,47.68952206415613
NCT01736176,4.032670650811432,56.41136531111134
NCT00878644,4.1201552572698015,61.56880052628916
NCT01502423,4.146958372711866,63.24135084426365
NCT01433393,6.539433548664649,691.8945424249475
