model,features,n_train,n_test,test_requested,test_requested_pct,log_likelihood_test,AIC_test,BIC_test,AUC_test,Brier_test,C_selected,beta_qualifier,OR_qualifier,beta_tree_number,OR_tree_number,beta_document_count,OR_document_count,beta_completeness_percentage,OR_completeness_percentage
M1_qualifier,qualifier,4113,1763,452,25.638116846284742,-597.1688167989433,3188.3376335978865,8646.685499448564,0.9691083952667354,0.08786935507243533,1.0,0.07906699029513847,1.0822768216856085,,,,,,
M2_qualifier_tree,qualifier|tree_number,4113,1763,452,25.638116846284742,-592.5632409931086,3181.126481986217,8644.949120019292,0.966420958128295,0.08738384993285875,1.0,-0.29090354587187073,0.7475877824684073,0.47239496461481495,1.6038307150272035,,,,
M3_full,qualifier|tree_number|document_count|completeness_percentage,4113,1763,452,25.638116846284742,-574.0053917102989,3148.010783420598,8622.782965818467,0.9701183991143693,0.0866486722195089,1.0,-0.3054846277833511,0.736766230472563,0.41676285258989376,1.5170427075242003,-0.5280755866204712,0.5897387795668115,0.09136530036199442,1.0956691805101997
