request_id,effect_logit,effect_OR
NCT00444509,2.4445615651650376,11.525495312297064
NCT00391274,2.531396003184151,12.571043109193983
NCT03464136,2.53343695047395,12.59672614550416
NCT01101568,2.541825995070656,12.702845139043562
NCT00256867,2.542937034129256,12.716966339298297
NCT00044460,2.5641353089251235,12.989421675245687
NCT00387088,2.6212842859115577,13.75337551399886
NCT00956436,2.633053576312391,13.916199264946465
NCT01577680,2.639328297858476,14.00379406941799
NCT00520936,2.6533210216767613,14.20112265476387
NCT00097695,2.738918751693925,15.470248869577249
NCT00306943,2.7994383310605016,16.435412917211913
NCT01499043,2.8132955775701705,16.664747790639936
NCT00017953,2.8397574201492812,17.111614100844697
NCT01328041,2.9066838757227247,18.296025962083487
NCT00129259,2.9430812451659025,18.974220558761964
NCT00000620,2.9470868859434094,19.050376895990137
NCT03444870,3.0756319111854875,21.663567037493127
NCT00274053,3.0810117195832394,21.780426937452514
NCT00140712,3.1139022121558075,22.50870700054571
NCT01114880,3.1256314901361226,22.774272281825997
NCT01117051,3.181879025059565,24.09198048255086
NCT01147926,3.2863883502500353,26.746091492858056
NCT00307541,3.3268916139147535,27.851633381926124
NCT00645905,3.356051775817742,28.675748794382688
NCT00265148,3.4130592946388867,30.357976333951253
NCT01736176,3.432008194761183,30.938711363963453
NCT00878644,3.940938016447398,51.46685542229082
NCT01502423,4.4203830000696005,83.12811733685544
NCT01433393,5.524246150129144,250.69727865746978
