nct_id,total_cells,empty_cells,completeness_percentage
NCT01673555,301,69,77.07641196013289
NCT01894360,261,64,75.47892720306514
NCT01894386,341,65,80.93841642228739
NCT01934153,345,77,77.68115942028986
NCT01934205,390,74,81.02564102564102
NCT02064465,288,74,74.30555555555556
NCT02175784,372,117,68.54838709677419
NCT02262689,324,65,79.93827160493827
NCT00451321,60977,16459,73.0078554208964
NCT00621322,49098,20009,59.24681249745407
NCT00674973,3913,1031,73.65192946588296
NCT00700310,6221,1790,71.22649091785887
NCT00796445,24485,8177,66.60404329181131
NCT00849381,1311,408,68.8787185354691
NCT00849875,11576,4297,62.88009675190048
NCT00887822,5088,1072,78.93081761006289
NCT01000974,17779,5254,70.44828168063445
NCT01007942,10547,2879,72.70313833317532
NCT01051063,6642,2257,66.01927130382415
NCT01165203,32790,11845,63.87618176273254
NCT01190202,91799,38825,57.70651096417172
NCT01245049,5244,1561,70.23264683447749
NCT01334918,3845,1314,65.8257477243173
NCT01439360,12924,3958,69.37480656143609
NCT01476202,2109,546,74.11095305832148
NCT01669096,8680,2111,75.67972350230414
NCT01712516,13246,3722,71.90095123056017
NCT01777269,7304,1719,76.46495071193867
NCT01870778,19929,4774,76.04495960660344
NCT01934192,77780,24823,68.08562612496786
NCT01977573,15210,3700,75.67389875082183
NCT01988857,1110,366,67.02702702702703
NCT02014584,17347,5480,68.40952326050613
NCT02045836,10460,3587,65.7074569789675
NCT02105948,18108,3726,79.42345924453281
NCT02275052,2138,529,75.25724976613658
NCT02446613,2763,783,71.66123778501628
NCT02557399,12432,4401,64.59942084942085
NCT02729051,5844,1363,76.67693360711841
NCT00004578,450,82,81.77777777777777
NCT00109070,287,86,70.03484320557492
NCT00109226,262,85,67.55725190839695
NCT00140738,507,131,74.16173570019724
NCT00259870,645,152,76.43410852713178
NCT01086449,282,76,73.04964539007092
NCT01092611,765,163,78.69281045751634
NCT01159964,635,127,80.0
NCT01458067,326,80,75.4601226993865
NCT01657526,253,73,71.14624505928853
NCT02065349,432,105,75.69444444444444
NCT02411162,276,71,74.27536231884058
NCT02466152,301,77,74.4186046511628
NCT02513654,231,67,70.99567099567099
NCT02666287,462,86,81.38528138528139
NCT02737007,346,88,74.56647398843931
NCT02972905,494,100,79.75708502024291
NCT03001440,206,71,65.53398058252426
NCT00069095,45161,9297,79.41365337348597
NCT00069108,8991,2164,75.93148704259815
NCT00069121,15614,3083,80.25489944921225
NCT00256867,14019,4848,65.41836079606249
NCT00280397,2069,479,76.84871918801353
NCT00374842,4822,1608,66.65284114475321
NCT00385008,3638,900,75.26113249037932
NCT00402363,8936,2240,74.93285586392122
NCT00606684,6069,1630,73.14219805569286
NCT00620022,1148,288,74.91289198606272
NCT00723450,11143,3186,71.40805887104011
NCT00833989,26370,8592,67.41751990898749
NCT00933335,15822,4844,69.38440146631272
NCT00996593,5760,1630,71.70138888888889
NCT00996840,36642,9364,74.44462638502266
NCT01014988,50047,15206,69.6165604331928
NCT01023308,17469,4111,76.46688419485946
NCT01123083,4833,1254,74.05338299193048
NCT01192191,14043,5621,59.97294025493128
NCT01209078,26905,8868,67.03958372049804
NCT01358825,1822,440,75.85071350164654
NCT01446237,1927,562,70.83549558899844
NCT01453023,6882,1734,74.80383609415867
NCT01453855,1671,480,71.27468581687612
NCT01573767,5002,1397,72.07117153138745
NCT01622231,7061,2248,68.16314969551055
NCT01626820,3352,1149,65.72195704057279
NCT01728623,3324,811,75.60168471720819
NCT01868035,2872,685,76.14902506963789
NCT02119286,3002,729,75.7161892071952
NCT00050947,499,148,70.34068136272545
NCT00196989,1803,275,84.74764281752634
NCT00493818,300,81,73.0
NCT00550225,357,72,79.83193277310924
NCT00605241,259,63,75.67567567567568
NCT00711126,348,68,80.45977011494253
NCT00857883,304,66,78.28947368421052
NCT00861484,268,63,76.49253731343283
NCT00945503,240,67,72.08333333333333
NCT00972686,343,78,77.25947521865889
NCT01009255,718,135,81.19777158774373
NCT01101568,366,72,80.32786885245902
NCT01262911,260,65,75.0
NCT01299597,347,66,80.97982708933718
NCT01428466,269,66,75.46468401486989
NCT01711723,342,71,79.23976608187135
NCT01772199,849,171,79.85865724381625
NCT01827631,279,68,75.62724014336918
NCT01873339,291,67,76.97594501718213
NCT02000804,342,80,76.60818713450293
NCT00207714,11345,2361,79.18907007492287
NCT00319020,7031,1521,78.36723083487414
NCT00319111,2935,843,71.27768313458262
NCT00361335,23248,5143,77.87766689607709
NCT00449644,7503,1630,78.27535652405705
NCT00488319,9468,2697,71.51457541191381
NCT00604279,2703,852,68.47946725860156
NCT00631475,1986,555,72.05438066465257
NCT00660179,22668,5918,73.89271219340038
NCT00853385,58453,14707,74.83961473320446
NCT01106651,18645,4317,76.84633950120676
NCT01230827,11031,2652,75.95866195267881
NCT01236391,8256,2078,74.83042635658914
NCT01345292,2283,531,76.74113009198423
NCT01453725,2682,604,77.47949291573453
NCT01466673,4308,1369,68.22191272051997
NCT01507090,1885,465,75.3315649867374
NCT01515423,9374,2795,70.18348623853211
NCT01627782,9126,1803,80.24326101249179
NCT01662310,5480,1445,73.63138686131387
NCT01776840,21191,5212,75.4046529186919
NCT01954121,2707,679,74.91688215736978
NCT01989754,27554,6669,75.79661755099079
NCT01998958,66578,14467,78.27059989786416
NCT02139943,2851,906,68.22167660470011
NCT02207231,26844,6054,77.44747429593205
NCT02382016,22224,4806,78.37473002159827
NCT02422186,5619,1746,68.92685531233316
NCT02472145,21177,4961,76.5736412145252
NCT02951819,16955,3470,79.53406074904159
NCT03158285,78471,22997,70.69363204241057
NCT03277105,12111,3216,73.44562794154075
NCT03379675,15187,4648,69.39487719760321
NCT05070546,9202,2726,70.37600521625734
NCT00036439,270,77,71.48148148148148
NCT00074477,200,74,63.0
NCT00082602,207,77,62.80193236714976
NCT00086320,214,74,65.42056074766356
NCT00207662,230,77,66.52173913043478
NCT00216502,269,76,71.74721189591078
NCT00246233,218,73,66.5137614678899
NCT00258557,1114,409,63.28545780969479
NCT00266617,254,79,68.89763779527559
NCT00270049,335,77,77.01492537313433
NCT00317538,292,80,72.6027397260274
NCT00460512,2434,1032,57.60065735414955
NCT00752427,169,77,54.437869822485204
NCT00866996,206,75,63.592233009708735
NCT01051531,660,247,62.57575757575758
NCT01173562,257,76,70.42801556420234
NCT00175019,8494,2593,69.47256887214505
NCT00197054,19564,4307,77.98507462686567
NCT00903617,16917,5130,69.67547437488916
NCT00940602,14978,3023,79.81706502870877
NCT01190176,2772,872,68.54256854256855
NCT01254188,4587,1149,74.9509483322433
NCT01302041,4867,1366,71.93342921717691
NCT01466361,2455,670,72.70875763747455
NCT01610414,19706,4853,75.3729828478636
NCT01655069,6161,1921,68.81999675377374
NCT01685138,3960,918,76.81818181818181
NCT01772160,3961,1235,68.82100479676849
NCT01788228,9130,2446,73.2092004381161
NCT01954264,25005,10469,58.13237352529494
NCT02014519,3513,1080,69.25704526046114
NCT02058589,9700,3040,68.65979381443299
NCT02113436,10972,2285,79.17426175720014
NCT02116582,3481,639,81.64320597529445
NCT02207816,11845,3225,72.77332207682566
NCT02284009,6684,1766,73.57869539198084
NCT02377349,29720,4275,85.6157469717362
NCT02377466,17241,4364,74.6882431413491
NCT02469298,21225,6234,70.62897526501767
NCT02554786,33292,7656,77.00348432055749
NCT02570126,6835,2396,64.94513533284565
NCT02573870,1644,414,74.81751824817518
NCT02647281,30905,8590,72.20514479857628
NCT02776033,13305,4226,68.23750469748215
NCT02826603,7885,1760,77.67913760304376
NCT02880852,7098,2064,70.9213863060017
NCT02901951,1998,444,77.77777777777777
NCT02986854,29588,7240,75.53062052183317
NCT03012061,5331,1323,75.18289251547552
NCT03215758,3366,874,74.03446226975639
NCT03368053,9557,2835,70.33587946008161
NCT00165659,863,242,71.95828505214368
NCT00237991,217,87,59.90783410138249
NCT00240942,240,88,63.333333333333336
NCT00243087,421,79,81.23515439429929
NCT00924989,662,113,82.93051359516616
NCT01096862,366,73,80.05464480874316
NCT01098526,357,78,78.15126050420169
NCT01231542,392,87,77.8061224489796
NCT01371331,349,94,73.06590257879657
NCT01406340,292,75,74.31506849315069
NCT01702480,404,79,80.44554455445545
NCT02113813,484,82,83.05785123966942
NCT02354950,340,67,80.29411764705883
NCT02884635,704,208,70.45454545454545
NCT00171223,4404,1273,71.094459582198
NCT00363051,9399,2795,70.2627939142462
NCT00473746,18140,5508,69.6361631753032
NCT00474383,2712,694,74.41002949852508
NCT00543855,5192,1752,66.2557781201849
NCT00820222,8157,2102,74.23072207919579
NCT01088529,2224,567,74.50539568345324
NCT01146951,4080,1092,73.23529411764706
NCT01245062,11852,2440,79.41275734053325
NCT01327846,140870,26904,80.90154042734436
NCT01385202,2752,873,68.27761627906976
NCT01424930,6026,1818,69.83073348821772
NCT01508936,7373,2283,69.03567069035671
NCT01632241,13878,2947,78.76495172215017
NCT01641133,11988,3497,70.82916249582917
NCT01849692,9847,2241,77.24179953285264
NCT01961609,10090,3162,68.66204162537166
NCT02025556,3721,1112,70.11556033324375
NCT02039947,27517,5512,79.96874659301523
NCT02141204,3119,812,73.96601474831677
NCT02195349,59762,19838,66.80499313945316
NCT02563067,7595,1701,77.6036866359447
NCT02719743,31467,7897,74.90386754377602
NCT02792231,13946,3150,77.41287824465796
NCT02799472,23438,6327,73.00537588531445
NCT02820844,70933,25425,64.15631652404382
NCT02849418,34533,11119,67.80181275881041
NCT02927457,7018,2220,68.36705614135082
NCT03131453,11110,2893,73.96039603960396
NCT03201211,4655,932,79.97851772287862
NCT03205150,10131,2102,79.25180140163853
NCT03231943,106430,29199,72.5650662407216
NCT03308942,21528,4465,79.25956893348197
NCT03527173,10504,3475,66.91736481340442
NCT03589885,5496,1576,71.32459970887919
NCT03629886,3709,1118,69.85710434079266
NCT03984812,29834,8670,70.93919688945499
NCT04079790,19728,6524,66.93025141930251
NCT04362137,6186,1496,75.81635952150016
NCT00094367,1880,275,85.37234042553192
NCT00099905,257,82,68.09338521400778
NCT00099944,302,82,72.8476821192053
NCT00106340,340,79,76.76470588235294
NCT00165815,235,88,62.5531914893617
NCT00860288,2088,489,76.58045977011494
NCT01751620,241,70,70.95435684647303
NCT02038673,843,205,75.68208778173191
NCT02738931,548,92,83.21167883211679
NCT03257852,718,181,74.79108635097494
NCT04354480,248,66,73.38709677419355
NCT00006305,3323,951,71.38128197411977
NCT00233324,5374,1472,72.60885746185336
NCT00266227,7648,2267,70.35826359832636
NCT00390689,6885,1869,72.85403050108933
NCT00522379,12513,3567,71.49364660752818
NCT00525512,19426,5321,72.60887470400495
NCT00528567,29279,7618,73.98135182212508
NCT00552240,8922,2689,69.86101770903385
NCT00710021,8065,2253,72.06447613143212
NCT00710762,4435,1284,71.04847801578354
NCT00787202,12958,3407,73.70736224726038
NCT01024920,12301,3139,74.48174945126412
NCT01096017,1614,359,77.75712515489467
NCT01225822,15907,3874,75.64594203809644
NCT01449461,50291,13312,73.53005507943767
NCT01909466,2659,670,74.80255735238812
NCT02509078,5326,1464,72.51220428088622
NCT02525874,14104,4151,70.56863301191152
NCT02555215,2616,747,71.44495412844037
NCT02675517,1514,550,63.67239101717305
NCT02793622,3159,980,68.97752453308009
NCT02975700,3343,1150,65.59976069398743
NCT03042299,2455,853,65.25458248472505
NCT03410108,5751,1460,74.6131107633455
NCT03444870,31085,5316,82.89850410165674
NCT03524092,18680,4431,76.27944325481799
NCT03835481,9618,3251,66.19879392805157
NCT03951753,5272,1357,74.26024279210925
NCT04115293,4249,1052,75.24123323134856
NCT04369742,5485,1553,71.68641750227894
NCT04376684,20877,3985,80.91200843033003
NCT04640168,15227,3109,79.58232087738885
NCT00000609,308,77,75.0
NCT00021814,607,79,86.9851729818781
NCT00109408,1665,442,73.45345345345345
NCT00301249,354,74,79.09604519774011
NCT00333554,407,71,82.55528255528256
NCT00356174,342,76,77.77777777777777
NCT00647491,544,177,67.46323529411765
NCT00670319,657,178,72.90715372907154
NCT00806572,282,72,74.46808510638297
NCT01461954,194,67,65.4639175257732
NCT01509768,255,70,72.54901960784314
NCT01960179,492,197,59.959349593495936
NCT02187705,234,85,63.675213675213676
NCT02449629,343,87,74.63556851311954
NCT02885662,237,67,71.72995780590718
NCT03283267,287,89,68.98954703832753
NCT04381936,1101,96,91.28065395095368
NCT06110754,319,68,78.68338557993731
NCT00146328,29025,7535,74.0396210163652
NCT00267969,20350,4187,79.42506142506143
NCT00394706,4230,1323,68.72340425531915
NCT00435409,26382,6429,75.6311121219013
NCT00558025,2204,689,68.73865698729583
NCT00579501,1926,579,69.93769470404985
NCT00613574,1329,440,66.89240030097818
NCT00695955,4188,1029,75.4297994269341
NCT00723528,20804,4596,77.90809459719284
NCT00736099,14020,3984,71.58345221112697
NCT00746941,20143,4348,78.41433748696818
NCT00918255,5202,1352,74.00999615532487
NCT01052116,1466,387,73.60163710777626
NCT01059773,10665,3861,63.79746835443038
NCT01071083,8762,3014,65.60146085368638
NCT01263509,7105,1632,77.03026038001407
NCT01877668,30977,9041,70.81382961552119
NCT02019472,13735,3382,75.37677466326902
NCT02219503,1075,269,74.97674418604652
NCT02433366,2377,848,64.32477913336137
NCT02651194,1384,270,80.49132947976878
NCT03464136,20907,4991,76.12761276127613
NCT00000459,339,84,75.22123893805309
NCT00000567,237,87,63.29113924050633
NCT00034749,223,74,66.81614349775785
NCT00034775,209,77,63.1578947368421
NCT00190827,345,103,70.14492753623189
NCT00210860,294,77,73.80952380952381
NCT00216528,199,73,63.31658291457286
NCT00216580,228,78,65.78947368421052
NCT00216606,244,73,70.08196721311475
NCT00231621,277,71,74.36823104693141
NCT00236418,250,77,69.2
NCT00236587,198,77,61.111111111111114
NCT00236639,282,73,74.11347517730496
NCT00236730,252,74,70.63492063492063
NCT00237302,221,73,66.96832579185521
NCT00249223,177,73,58.75706214689266
NCT00250354,226,74,67.2566371681416
NCT00250367,230,74,67.82608695652173
NCT00253123,279,79,71.68458781362007
NCT00253136,215,74,65.5813953488372
NCT00253175,240,72,70.0
NCT00656994,577,177,69.32409012131716
NCT00811785,320,72,77.5
NCT00852904,263,78,70.34220532319392
NCT01331564,372,62,83.33333333333333
NCT01524835,241,87,63.90041493775934
NCT02171702,305,108,64.59016393442623
NCT02295865,416,109,73.79807692307692
NCT00006164,5304,1381,73.9630467571644
NCT00299104,14682,3330,77.3191663261136
NCT00320489,9712,3079,68.29695222405272
NCT00363415,14561,4182,71.2794450930568
NCT00382265,1381,409,70.38377986965966
NCT00532155,10394,2321,77.66980950548394
NCT00558259,6306,1648,73.86615921344752
NCT00615992,1616,554,65.71782178217822
NCT00692198,4413,1347,69.47654656696125
NCT00707980,6165,2173,64.75263584752636
NCT00734071,7956,2390,69.9597787833082
NCT00762411,22747,6089,73.23163494087133
NCT00831415,5559,1189,78.61126101816873
NCT00835978,22280,4677,79.00807899461401
NCT00987415,3531,1376,61.030869442084395
NCT01007435,12754,2678,79.00266583032774
NCT01106833,10805,3788,64.94215640906988
NCT01140906,4432,1133,74.43592057761732
NCT01209702,5229,1468,71.92579843182253
NCT01558271,21488,5604,73.92032762472077
NCT01856257,13968,4089,70.72594501718213
NCT02053493,2548,593,76.72684458398744
NCT02273973,11418,3160,72.32440007006481
NCT02927795,2102,659,68.6489058039962
NCT02985879,11683,1965,83.18068989129505
NCT03051217,8702,1831,78.95886003217652
NCT04335123,2712,764,71.82890855457227
NCT04497948,1844,455,75.32537960954447
NCT00000616,319,81,74.60815047021944
NCT00005485,477,62,87.00209643605871
NCT00091988,369,64,82.65582655826559
NCT00191061,592,193,67.39864864864865
NCT00279318,444,78,82.43243243243244
NCT00299871,300,88,70.66666666666667
NCT00404183,281,68,75.80071174377224
NCT00464555,394,68,82.74111675126903
NCT00837785,243,70,71.19341563786008
NCT00891865,299,79,73.57859531772576
NCT01009827,374,85,77.27272727272727
NCT01035515,253,64,74.70355731225297
NCT01169402,250,68,72.8
NCT01433393,394,171,56.598984771573605
NCT01540903,298,68,77.18120805369128
NCT01632007,433,172,60.277136258660505
NCT01751659,195,79,59.48717948717949
NCT02060344,311,75,75.88424437299035
NCT02171741,328,106,67.6829268292683
NCT02177344,372,112,69.89247311827957
NCT02585674,539,142,73.65491651205937
NCT02807987,226,64,71.68141592920354
NCT00000575,2606,718,72.44819646968534
NCT00102440,8730,3024,65.36082474226804
NCT00120289,26969,7066,73.79954762875894
NCT00281697,5815,1148,80.25795356835769
NCT00321464,21217,4323,79.62482914643918
NCT00608491,7520,2081,72.32712765957447
NCT00650091,6334,1546,75.59204294284812
NCT00765856,1686,434,74.25860023724792
NCT00777179,3734,1215,67.46116764863417
NCT00950300,8982,1914,78.69071476285905
NCT01044862,2855,782,72.60945709281961
NCT01206062,5603,1690,69.83758700696056
NCT01214239,2852,779,72.68583450210379
NCT01349049,65175,16658,74.44112006137323
NCT01401166,11376,2588,77.25035161744023
NCT01473602,6372,1677,73.68173258003766
NCT02149108,8844,1921,78.2790592492085
NCT02326272,9514,2596,72.71389531217153
NCT02589639,3454,964,72.09033005211349
NCT02783573,21209,3990,81.18723183554151
NCT02928406,18945,5003,73.59197677487464
NCT03020537,1535,578,62.34527687296417
NCT03186209,7270,1626,77.63411279229712
NCT03330106,13897,2941,78.83715909908614
NCT03820726,5292,1123,78.7792894935752
NCT04409353,9155,3004,67.18732932823593
NCT00000555,454,97,78.63436123348018
NCT00000577,627,95,84.84848484848484
NCT00000590,268,79,70.5223880597015
NCT00004984,591,84,85.78680203045685
NCT00004992,593,72,87.85834738617201
NCT00036088,757,284,62.48348745046235
NCT00060905,409,100,75.55012224938875
NCT00088036,530,199,62.45283018867924
NCT00106678,392,88,77.55102040816327
NCT00150579,254,80,68.50393700787401
NCT00341302,392,115,70.66326530612245
NCT00480831,401,77,80.79800498753117
NCT00755508,404,81,79.95049504950495
NCT00814099,638,119,81.34796238244515
NCT00826774,355,81,77.1830985915493
NCT00882284,529,110,79.20604914933837
NCT01322217,318,73,77.04402515723271
NCT01892930,321,69,78.50467289719626
NCT02366533,319,91,71.47335423197492
NCT02951221,291,87,70.10309278350516
NCT03088904,290,64,77.93103448275862
NCT03920761,221,67,69.68325791855203
NCT04944771,385,64,83.37662337662337
NCT05025787,649,81,87.51926040061633
NCT00088465,5531,1540,72.1569336467185
NCT00089674,15134,3099,79.52292850535218
NCT00134563,11024,2506,77.2677793904209
NCT00262067,19318,3879,79.92028160265038
NCT00321919,20625,5510,73.28484848484848
NCT00408993,7624,2708,64.48058761804828
NCT00409617,5543,1716,69.04203499909796
NCT00727506,30053,8656,71.19755099324527
NCT00796549,3116,981,68.5173299101412
NCT00985504,6303,2124,66.30176106615897
NCT01033071,11076,3262,70.54893463344168
NCT01119859,3557,859,75.85043576047231
NCT01145053,1412,397,71.88385269121812
NCT01232569,10301,2623,74.53645277157557
NCT01318902,11927,2870,75.93694977781504
NCT01345682,10778,2822,73.81703470031546
NCT01355081,10871,2778,74.44577315794315
NCT01502423,1937,539,72.17346411977285
NCT01617447,3294,782,76.25986642380084
NCT01649765,4810,948,80.29106029106029
NCT01672983,14269,2809,80.31396734178989
NCT02092467,60209,15639,74.0254779185836
NCT02265705,11570,2330,79.86171132238547
NCT02743806,2903,751,74.13021012745436
NCT02951767,5230,793,84.83747609942638
NCT03391765,6307,1231,80.48200412240368
NCT03616912,20613,4400,78.65424731965264
NCT04322682,5722,1688,70.4998252359315
NCT04657016,6630,1504,77.31523378582202
NCT04723394,19370,3211,83.42281879194631
NCT05396014,42224,15419,63.48285335354301
NCT00000462,536,81,84.88805970149254
NCT00000606,327,78,76.14678899082568
NCT00000608,346,73,78.90173410404624
NCT00005357,227,64,71.80616740088105
NCT00073164,529,186,64.83931947069944
NCT00092911,176,73,58.52272727272727
NCT00097760,281,65,76.86832740213524
NCT00109239,257,85,66.92607003891051
NCT00144157,301,78,74.08637873754152
NCT00310843,1194,375,68.5929648241206
NCT00468403,567,120,78.83597883597884
NCT00568789,331,94,71.6012084592145
NCT00839657,528,95,82.00757575757575
NCT01046331,994,253,74.54728370221328
NCT01310023,782,106,86.44501278772378
NCT01742234,227,77,66.07929515418502
NCT01751360,211,80,62.08530805687204
